Date,Time,Site,Project,Bottle,pH,Temp,DO,SpCond,Turb,ChlugL,Pheo,Cl,Alk,NH3,NO2,NOx,NO3,Si,SO4,OP,TP,TN,TDN,TN_TP_mass,TN_TP_molar,DIN_TP_mass,DIN_TP_molar,SS,Comment
10/22/1980,,MO,SWMP,1,8.20,10.0,10.00,490.5,22.0,,,37.04,72.7,0.074,1.0,,,0.711,26.0,5.0,,,,,,,,,
10/22/1980,,DR,SWMP,1,7.80,9.5,12.40,845.1,25.0,,,59.72,91.7,0.0514,0.5,,,0.864,51.7,15.1,,,,,,,,,
10/22/1980,,BR,SWMP,1,7.50,7.5,12.80,781.1,8.8,,,84.95,83.8,0.063,2.1,,,1.207,69.0,27.5,,,,,,,,,
11/5/1980,,DR,SWMP,1,,7.0,13.00,667.9,30.0,,,79.41,94.4,0.0916,1.4,,,1.707,3.4,3.1,,,,,,,,,
11/5/1980,,MO,SWMP,1,,9.5,9.70,465.9,24.0,,,37.75,76.5,0.063,2.4,,,0.715,27.0,5.0,,,,,,,,,
11/5/1980,,BR,SWMP,1,,6.0,13.00,816.2,9.1,,,93.14,89.4,0.084,4.3,,,1.468,66.8,8.5,,,,,,,,,
11/19/1980,,MO,SWMP,1,,3.0,,500.2,12.0,,,37.50,80.5,0.074,1.1,0.788,0.787,0.021,29.0,1.0,,,,,,,,,
11/19/1980,,BR,SWMP,1,,1.5,,789.3,4.5,,,86.00,91.8,0.096,3.7,0.546,0.542,0.384,69.3,15.9,,,,,,,,,
11/19/1980,,DR,SWMP,1,,2.0,,841.4,6.0,,,81.00,100.9,0.1014,2.5,0.598,0.595,0.328,66.8,28.3,,,,,,,,,
12/3/1980,,MO,SWMP,1,8.55,0.0,12.00,556.9,14.0,,,42.57,71.7,0.061,1.1,0.040,0.039,0.004,31.7,2.7,,,,,,,,,
12/3/1980,,DR,SWMP,1,8.20,0.0,10.50,667.5,6.0,,,90.10,81.0,0.0698,14.6,0.846,0.831,3.314,76.2,16.7,,,,,,,,,
12/3/1980,,BR,SWMP,1,8.10,0.8,10.70,484.3,3.2,,,77.72,79.8,0.069,20.4,1.201,1.181,3.050,78.7,19.4,,,,,,,,,
12/17/1980,,MO,SWMP,1,8.45,1.0,,609.3,7.4,,,57.50,80.5,0.077,2.5,0.369,0.367,0.316,42.1,2.3,,,,,,,,,
12/17/1980,,BR,SWMP,1,8.25,-1.0,,814.5,3.5,,,70.50,84.6,0.090,6.2,2.930,2.923,3.149,93.1,17.8,,,,,,,,,
12/17/1980,,DR,SWMP,1,8.30,0.0,,683.1,7.3,,,71.50,83.2,0.0913,10.6,3.785,3.774,3.147,86.0,18.2,,,,,,,,,
1/14/1981,,MO,SWMP,1,7.80,0.0,14.20,909.1,5.2,,,86.19,110.6,0.291,56.8,1.118,1.061,1.206,78.0,14.0,,,,,,,,,
1/14/1981,,DR,SWMP,1,7.90,0.0,14.20,511.1,6.2,,,97.62,109.6,0.0978,16.4,0.540,0.523,4.122,95.4,18.6,,,,,,,,,
1/14/1981,,BR,SWMP,1,7.80,0.0,14.00,899.5,3.0,,,86.67,95.4,0.098,14.6,1.002,0.988,3.636,88.3,33.3,,,,,,,,,
1/28/1981,,MO,SWMP,1,7.50,0.5,11.60,620.2,26.0,,,52.48,87.0,0.240,37.2,5.788,5.750,3.291,51.2,38.0,,,,,,,,,
1/28/1981,,DR,SWMP,1,7.75,0.3,12.60,608.5,44.0,,,52.48,78.3,0.1787,39.3,5.967,5.927,3.330,52.6,50.8,,,,,,,,,
1/28/1981,,BR,SWMP,1,7.75,0.3,12.40,644.8,21.0,,,52.48,79.2,0.149,34.1,6.912,6.878,3.312,52.3,55.1,,,,,,,,,
2/11/1981,,DR,SWMP,1,7.80,1.0,11.60,483.0,36.0,,,78.43,173.9,0.0870,21.8,2.378,2.356,3.741,93.3,5.8,,,,,,,,,
2/11/1981,,BR,SWMP,1,8.10,1.5,12.10,771.1,3.8,,,76.72,171.6,0.097,19.7,2.438,2.419,3.669,94.0,26.0,,,,,,,,,
2/11/1981,,MO,SWMP,1,7.50,1.0,11.40,646.2,32.0,,,68.14,130.3,0.098,25.6,1.525,1.500,2.715,53.9,36.8,,,,,,,,,
