Citation,Article Title,DOI,Wetland name,System,Class,Regime,Artificial,CW Water Chem,CW Soil ,Additional Modifiers,Source,Number Pools,Landuse,Nutrient Event Sampling,Category,Data_year first year of sampling,Location,Watershed Area (km^2),Lat,Long,Frequency,Age (years),Years monitored,Surface.area,What is P measured in?,How,Load_method,Notes,Article Title,TPloading g.m2.y,%retention,TPretention g.m2.y,Wetland name,Wetland.name,clusters8
Abe 2014,Purification performance of a shallow free-water-surface constructed wetland receiving secondary effluent for about 5 years,10.1016/j.ecoleng.2014.03.040,Koibuchi College CW,Palustrine,Emergent,NA,Y,Neutral,No data,WWT,Wastewater,2,Urban,N,Flow through,2005,Japan,,36.33232,140.3445,weekly,1,5,0.05,Water,NA,NA,,Purification performance of a shallow free-water-surface constructed wetland receiving secondary effluent for about 5 years,28.47,51.28,14.6,Koibuchi College CW,Koibuchi College CW,1
Amado 2012,Influence of stormwater infiltration on the treatment capacity of a LECA-based horizontal subsurface flow constructed wetland,10.1016/j.ecoleng.2011.11.009,Vila Fernando Wastewater Treatment Plant,Palustrine,Emergent,Seasonally Flooded,N,Neutral,No data,WWT,Wastewater,NA,Urban,N,Flow through,2008,Portugal,,40.54559,-7.2373,bimonthly,1,2,0.0828,Water,Constant,Constant,,Influence of stormwater infiltration on the treatment capacity of a LECA-based horizontal subsurface flow constructed wetland,1058.5,31.03,328.5,Vila Fernando Wastewater Treatment Plant,Vila Fernando Wastewater Treatment Plant,1
Anderson 2006,"Sediment, carbon, and nutrient accumulation at two 10-year-old created riverine marshes",10.1672/0277-5212(2006)26[779:SCANAA]2.0.CO;2,Olentangy River Wetland Park,Riverine - Lower Perennial,Emergent,Permanently Flooded,Y,No data,Mixed,Pumped,Stream/River,2,Floodplain,N,Flow through,1994,"US, Ohio",NA,40.01700277,-83.01691036,sediment,10,10,1,Sediment,NA,NA,GOOD TABLE of examples of sediment accretion rates across different wetlands.,"Sediment, carbon, and nutrient accumulation at two 10-year-old created riverine marshes",NA,NA,3.4,Olentangy River Wetland Park,Olentangy River Wetland Park,2
Ardon 2010,The Water Quality Consequences of Restoring Wetland Hydrology to a Large Agricultural Watershed in the Southeastern Coastal Plain,10.1007/s10021-010-9374-x,Timberlake Farm Year 1,Riverine - Lower Perennial,Forested,Intermittently Exposed,Y,Acid,Mineral,Pumped,Runoff,N/A,Agriculture,N,Flow through,2007,"US, NC",,35.90626749,-76.15696586,weekly,1,2,440,Water,Linear Interpolation,Linear Interpolation,,The Water Quality Consequences of Restoring Wetland Hydrology to a Large Agricultural Watershed in the Southeastern Coastal Plain,0,-46,0,Timberlake Farm Year 1,Timberlake Farm Year 1,3
Audet 2020,Nitrogen and phosphorus retention in Danish restored wetlands,,Snaremose so,Palustrine,Emergent,Semipermanently Flooded,N,No data,Mineral,,Stream/River,NA,Agriculture,N,Flow through,2015,Denmark,5.65,54.89407,10.75748,monthly,13,1,31,Water,Linear Interpolation,Linear Interpolation,,Nitrogen and phosphorus retention in Danish restored wetlands,166.67,-10,-16.67,Snaremose so,Snaremose so,2
Audet 2020,Nitrogen and phosphorus retention in Danish restored wetlands,10.1007/s13280-019-01181-2,Aarslev Engso,Lacustrine - Limnetic,Aquatic Bed,Permanently Flooded,N,No data,Mineral,,Stream/River,NA,Agriculture,N,Flow through,2015,Denmark,271.34,56.14154,10.06886,monthly,12,1,215,Water,Linear Interpolation,Linear Interpolation,,Nitrogen and phosphorus retention in Danish restored wetlands,17.48,18,3.15,Aarslev Engso,Aarslev Engso,2
Audet 2020,Nitrogen and phosphorus retention in Danish restored wetlands,,Geeddebaekken,Palustrine,Aquatic Bed,Permanently Flooded,N,No data,Organic,,Stream/River,NA,Agriculture,N,Flow through,2015,Denmark,2.29,55.1483,10.37734,monthly,12,1,20,Water,Linear Interpolation,Linear Interpolation,,Nitrogen and phosphorus retention in Danish restored wetlands,42.86,-12,-5.14,Geeddebaekken,Geeddebaekken,2
Audet 2020,Nitrogen and phosphorus retention in Danish restored wetlands,,Tim Enge,Lacustrine - Limnetic,Aquatic Bed,Permanently Flooded,N,No data,Organic,,Stream/River,NA,Agriculture,N,Flow through,2015,Denmark,100.59,56.18334,8.148393,monthly,8,1,152,Water,Linear Interpolation,Linear Interpolation,,Nitrogen and phosphorus retention in Danish restored wetlands,17,17,2.89,Tim Enge,Tim Enge,2
Audet 2020,Nitrogen and phosphorus retention in Danish restored wetlands,,Lyngbygaards a,Palustrine,Emergent,Semipermanently Flooded,N,No data,Mineral,,Stream/River,NA,Agriculture,N,Flow through,2015,Denmark,57.21,56.1665,9.910338,monthly,8,1,40,Water,Linear Interpolation,Linear Interpolation,,Nitrogen and phosphorus retention in Danish restored wetlands,20.31,13,2.64,Lyngbygaards a,Lyngbygaards a,2
Audet 2020,Nitrogen and phosphorus retention in Danish restored wetlands,,Vilsted Lake,Lacustrine - Limnetic,Aquatic Bed,Permanently Flooded,N,No data,Organic,,Stream/River,NA,Agriculture,N,Flow through,2015,Denmark,95.88,56.89168,9.26642,monthly,7,1,913,Water,Linear Interpolation,Linear Interpolation,,Nitrogen and phosphorus retention in Danish restored wetlands,207.14,-29,-60.07,Vilsted Lake,Vilsted Lake,2
Audet 2020,Nitrogen and phosphorus retention in Danish restored wetlands,,Sandskaer,Palustrine,Aquatic Bed,Permanently Flooded,N,No data,Mineral,,Stream/River,NA,Agriculture,N,Flow through,2015,Denmark,1.14,55.11383,9.487234,monthly,4,1,5.8,Water,Linear Interpolation,Linear Interpolation,,Nitrogen and phosphorus retention in Danish restored wetlands,83.33,-5,-4.17,Sandskaer,Sandskaer,2
Audet 2020,Nitrogen and phosphorus retention in Danish restored wetlands,,Grongroft,Palustrine,Emergent,Semipermanently Flooded,N,No data,Organic,,Stream/River,NA,Agriculture,N,Flow through,2015,Denmark,2.45,54.9514,9.549329,monthly,3,1,25.4,Water,Linear Interpolation,Linear Interpolation,,Nitrogen and phosphorus retention in Danish restored wetlands,0,0,0,Grongroft,Grongroft,2
Bachand 2019,"Sequestration and Transformation in Chemically Enhanced Treatment Wetlands: DOC, DBPPs, and Nutrients",,Twitchell Island Constructed Wetland Al Dosing,Palustrine,Aquatic Bed,Permanently Flooded,Y,Neutral,No data,Pumped,Stream/River,3,Agriculture,N,,2011,"US, California",,38.09879896,-121.6553429,weekly,1,2,0.401,Water,Constant,Constant,Includes dosing with aluminum or iron (both of which improved wetland performance),"Sequestration and Transformation in Chemically Enhanced Treatment Wetlands: DOC, DBPPs, and Nutrients",NA,NA,NA,Twitchell Island Constructed Wetland Al Dosing,Twitchell Island Constructed Wetland Al Dosing,2
Bachand 2019,"Sequestration and Transformation in Chemically Enhanced Treatment Wetlands: DOC, DBPPs, and Nutrients",10.1061/(ASCE)EE.1943-7870.0001536,Twitchell Island Constructed Wetland Control Dosing,Palustrine,Aquatic Bed,Permanently Flooded,Y,Neutral,No data,Pumped,Stream/River,3,Agriculture,N,Flow through,2011,"US, California",,38.09879896,-121.6553429,weekly,1,2,0.401,Water,Constant,Constant,Includes dosing with aluminum or iron (both of which improved wetland performance),"Sequestration and Transformation in Chemically Enhanced Treatment Wetlands: DOC, DBPPs, and Nutrients",NA,NA,NA,Twitchell Island Constructed Wetland Control Dosing,Twitchell Island Constructed Wetland Control Dosing,2
Bachand 2019,"Sequestration and Transformation in Chemically Enhanced Treatment Wetlands: DOC, DBPPs, and Nutrients",,Twitchell Island Constructed Wetland Fe Dosing,Palustrine,Aquatic Bed,Permanently Flooded,Y,Neutral,No data,Pumped,Stream/River,3,Agriculture,N,,2011,"US, California",,38.09879896,-121.6553429,weekly,1,2,0.401,Water,Constant,Constant,Includes dosing with aluminum or iron (both of which improved wetland performance),"Sequestration and Transformation in Chemically Enhanced Treatment Wetlands: DOC, DBPPs, and Nutrients",NA,NA,NA,Twitchell Island Constructed Wetland Fe Dosing,Twitchell Island Constructed Wetland Fe Dosing,2
Baird 2020,Evaluating the hydrologic and water quality performance of novel infiltrating wet retention ponds,10.2166/bgs.2020.010,Bingham Pond,Palustrine,Aquatic Bed,Permanently Flooded,N,No data,Mineral,,Runoff,1,Urban,Y,Flow through,2013,"US, North Carolina",0.0237,35.01624287,-78.98642109,event,2,1,0.12,Water,NA,NA,Monitored during all storm events for the year (n=77),Evaluating the hydrologic and water quality performance of novel infiltrating wet retention ponds,1.39,38,0.53,Bingham Pond,Bingham Pond,3
Baird 2020,Evaluating the hydrologic and water quality performance of novel infiltrating wet retention ponds,,Raeford Pond,Palustrine,Aquatic Bed,Permanently Flooded,N,No data,Mineral,,Runoff,1,Urban,Y,Flow through,2013,"US, North Carolina",0.0194,35.01624287,-78.98642109,event,1,1,0.08,Water,NA,NA,Monitored during all storm events for the year (n=77),Evaluating the hydrologic and water quality performance of novel infiltrating wet retention ponds,3.57,28,1,Raeford Pond,Raeford Pond,3
Barco 2017,Treatment performance and macrophytes growth in a restored hybrid constructed wetland for municipal wastewater treatment,,Alonte HSSF,Palustrine,Emergent,Permanently Flooded,Y,Neutral,No data,WWT,Wastewater,,Urban,N,,2011,Northeast Italy,,45.36666,11.43333,monthly,9,1,0.025,Water,Constant,Constant,,Treatment performance and macrophytes growth in a restored hybrid constructed wetland for municipal wastewater treatment,1728.46,42.5,734.6,Alonte HSSF,Alonte HSSF,1
Barco 2017,Treatment performance and macrophytes growth in a restored hybrid constructed wetland for municipal wastewater treatment,,Alonte FTW,Palustrine,Emergent,Permanently Flooded,Y,Neutral,No data,WWT,Wastewater,,Urban,N,,2011,Northeast Italy,,45.36666,11.43333,monthly,1,1,0.0467,Water,Constant,Constant,,Treatment performance and macrophytes growth in a restored hybrid constructed wetland for municipal wastewater treatment,532.12,-19.6,-104.3,Alonte FTW,Alonte FTW,1
Barten 1987,Stormwater runoff treatment in a wetland filter: effects on the water quality of clear lake,,Clear Lake,Palustrine,Emergent,Permanently Flooded,N,No data,No data,,Runoff,,Urban,Pooled Samples (autosampler)),,1981,"US, Minnesota",,45.45,-94.05,monthly,1,1,21.4,Water,Event Sampling (then assume Constant,event,,Stormwater runoff treatment in a wetland filter: effects on the water quality of clear lake,4.66,39.6,1.85,Clear Lake,Clear Lake,3
Beutel 2014,Phosphorus Removal in a Surface-Flow Constructed Wetland Treating Agricultural Runoff,,Yakima North Wetland,Palustrine,Emergent,Permanently Flooded,Y,No data,No data,Pumped,Runoff,3,Agriculture,N,Flow through,2004,"US, Washington",1400,46.50016983,-120.0000858,bimonthly,2,7,0.795,Water,Constant,Constant,,Phosphorus Removal in a Surface-Flow Constructed Wetland Treating Agricultural Runoff,4.2,45.24,1.76,Yakima North Wetland,Yakima North Wetland,3
Beutel 2014,Phosphorus Removal in a Surface-Flow Constructed Wetland Treating Agricultural Runoff,,Yakima South Wetland,Palustrine,Emergent,Permanently Flooded,Y,No data,No data,Pumped,Runoff,3,Agriculture,N,Flow through,2004,"US, Washington",1400,46.50016983,-120.0000858,bimonthly,2,7,0.696,Water,Constant,Constant,,Phosphorus Removal in a Surface-Flow Constructed Wetland Treating Agricultural Runoff,6.03,43.26,2.46,Yakima South Wetland,Yakima South Wetland,3
Beutel 2014,Phosphorus Removal in a Surface-Flow Constructed Wetland Treating Agricultural Runoff,10.2134/jeq2013.11.0463,Yakima Sedimentation Basin,Palustrine,Aquatic Bed,Permanently Flooded,Y,No data,No data,Pumped,Runoff,1,Agriculture,N,Flow through,2004,"US, Washington",1400,46.50016983,-120.0000858,bimonthly,2,7,0.14,Water,Constant,Constant,,Phosphorus Removal in a Surface-Flow Constructed Wetland Treating Agricultural Runoff,79.59,21.43,19.67,Yakima Sedimentation Basin,Yakima Sedimentation Basin,3
Bhadha 2011,Phosphorus Mass Balance and Internal Load in an Impacted Subtropical Isolated Wetland,10.1007/s11270-010-0673-9,Lake Okeechobee Basin Isolated Wetlands,Palustrine,Emergent,Seasonally Flooded,N,Neutral,Mineral,,Runoff,2,Agriculture,N,Isolated,2004,"US, Florida",,27.34905088,-80.94105746,seasonally,NA,2,0.88,Water,Constant,Constant,"Isolated wetland so not standard measurements, but definitely comparable. Be careful with distinguishing between wetland 1 and wetland 2 though. They just report and average",Phosphorus Mass Balance and Internal Load in an Impacted Subtropical Isolated Wetland,1.7,28,0.48,Lake Okeechobee Basin Isolated Wetlands,Lake Okeechobee Basin Isolated Wetlands,3
Bhomia 2015,Soil and phosphorus accretion rates in sub-tropical wetlands: Everglades Stormwater Treatment Areas as a case example,10.1016/j.scitotenv.2015.06.115,STA-1W,Palustrine,Emergent,Semipermanently Flooded,Y,No data,Organic,,Runoff,NA,Agriculture,NA,Flow through,2009,"US, Florida",NA,26.74264391,-80.70409976,sediment,16,16,2700,Sediment,NA,NA,Data from cores,Soil and phosphorus accretion rates in sub-tropical wetlands: Everglades Stormwater Treatment Areas as a case example,NA,NA,1.3,STA-1W,STA-1W,3
